Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
Innovation and Instructional Teams,Infrastructure and Investment,Business and Energy,Day to day Spending,Administration & central functions,483,b,,,,483
Innovation and Instructional Teams,Infrastructure and Investment,Business and Energy,Day to day Spending,Nuclear decommissioning,384,b,,,,384
English Learner Education,Infrastructure and Investment,Business and Energy,Day to day Spending,Industrial strategy and investment,316,b,,,,316
Program Management,Infrastructure and Investment,Business and Energy,Day to day Spending,Science and research,224,b,,,,224
Grants to States for Medicaid,Infrastructure and Investment,Business and Energy,Day to day Spending,Competition and markets,147,b,,,,147
Children's Health Insurance Fund,Infrastructure and Investment,Business and Energy,Day to day Spending,Energy affordability,54,b,,,,54
State Grants and Demonstrations,Infrastructure and Investment,Business and Energy,Day to day Spending,Tackling climate change,40,b,,,,40
Center for Medicare and Medicaid Innovation,Infrastructure and Investment,Business and Energy,Day to day Spending,Security of energy supply,13,b,,,,13
Child Enrollment Contingency Fund,Infrastructure and Investment,Business and Energy,Day to day Spending,Other energy legacy,276,b,,,,276
Health Insurance Reform Implementation Fund,Infrastructure and Investment,Business and Energy,Investment,Science and research,7951,b,,,,7951
Office of the National Coordinator for Health Information Technology,Infrastructure and Investment,Business and Energy,Investment,Nuclear decommissioning,1851,b,,,,1851
Public Health and Social Services Emergency Fund,Infrastructure and Investment,Business and Energy,Investment,Industrial strategy and investment,427,b,,,,427
General Departmental Management,Infrastructure and Investment,Business and Energy,Investment,Tackling climate change,255,b,,,,255
Retirement Pay and Medical Benefits for Commissioned Officers,Infrastructure and Investment,Business and Energy,Investment,Administration & central functions,226,b,,,,226
Miscellaneous Trust Funds,Infrastructure and Investment,Business and Energy,Investment,Energy affordability,43,b,,,,43
Office of the Inspector General,Infrastructure and Investment,Business and Energy,Investment,Security of energy supply,0,b,,,,0
Federal Intergovernmental  Public Welfare (B79),Infrastructure and Investment,Business and Energy,Investment,Other energy legacy,16,b,,,,16
"Current Operations  Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",Central Government,Cabinet Office,Day to day Spending,Government efficiency and workforce,116,b,,,,116
"Current Operations  Public Welfare, Vendor Payments for Medical Care (E74)",Central Government,Cabinet Office,Day to day Spending,HMG delivery and PM's priorities,108,b,,,,108
Operation of Indian Programs,Central Government,Cabinet Office,Day to day Spending,"The Union, security and democracy",70,b,,,,70
Operation of Indian Programs,Central Government,Cabinet Office,Day to day Spending,Administration and cross-cutting work,63,b,,,,63
Education Improvement Programs,Central Government,Cabinet Office,Day to day Spending,Government Property Agency ,38,b,,,,38
Indian Student Education,Central Government,Cabinet Office,Day to day Spending,Elections,7,b,,,,7
Impact Aid,Central Government,Cabinet Office,Day to day Spending,Arms Length Bodies,3,b,,,,3
Supporting Student Success,Central Government,Cabinet Office,Day to day Spending,UK Members of European Parliament,3,b,,,,3
Accelerating Achievement and Ensuring Equity,Central Government,Cabinet Office,Investment,Government efficiency and workforce,19,b,,,,19
Special Education,Central Government,Cabinet Office,Investment,"The Union, security and democracy",6,b,,,,6
"Career, Technical and Adult Education",Central Government,Cabinet Office,Investment,Administration and cross-cutting work,2,b,,,,2
Federal Payment for School Improvement,Central Government,Cabinet Office,Investment,Government Property Agency ,2,b,,,,2
Current Operations  Elementary and Secondary Education (E12),Central Government,Cabinet Office,Investment,HMG delivery and PM's priorities,1,b,,,,1
Construction  Elementary and Secondary Education (F12),Intl relations & Defence,Defence,Day to day Spending,Infrastructure & depreciation,12398,b,,,,12398
Other Capital Outlay  Elementary and Secondary Education (G12),Intl relations & Defence,Defence,Day to day Spending,Service Personnel,9588,b,,,,9588
Payment Where American Opportunity Credit Exceeds Liability for TAX,Intl relations & Defence,Defence,Day to day Spending,"Equipment, Inventory and R&D",9009,b,,,,9009
"Federal Family Education Loan Program, Negative Subsidies",Intl relations & Defence,Defence,Day to day Spending,Civilian Personnel,2057,b,,,,2057
"Federal Perkins Loan, Negative Subsidies",Intl relations & Defence,Defence,Day to day Spending,Operations Costs,328,b,,,,328
National Technical Institute for the Deaf,Intl relations & Defence,Defence,Day to day Spending,Other,3327,b,,,,3327
Gallaudet University,Intl relations & Defence,Defence,Investment,Single Use Military Equipment,4333,b,,,,4333
Higher Education,Intl relations & Defence,Defence,Investment,Other Capital & Estate (net),2488,b,,,,2488
Special Benefits,Intl relations & Defence,Defence,Investment,Research and Development,1772,b,,4,3,1772
Armed Forces Retirement Home,Intl relations & Defence,Defence,Investment,Operations Costs,80,b,,,,80
"Reemployed Annuitants Salary Offset, Civil Service Retirement and Disability Fund",Intl relations & Defence,Defence,Investment,Other,87,b,,,,87
Civil Service Retirement and Disability Fund,Public Services,Digital Culture Media & Sport,Day to day Spending,Museums Galleries and Libraries,557,b,,,,557
Civil Service Retirement and Disability Fund,Public Services,Digital Culture Media & Sport,Day to day Spending,Arts and Heritage,487,b,,,,487
Employees Life Insurance Fund,Public Services,Digital Culture Media & Sport,Day to day Spending,Office for Civil Society,294,b,,,,294
Judicial Officers' Retirement Fund,Public Services,Digital Culture Media & Sport,Day to day Spending,Sports,141,b,,,,141
"Reimbursement for Program Expenses, Federal Retirement Thrift Investment Board",Public Services,Digital Culture Media & Sport,Day to day Spending,Broadcasting and Media,78,b,,,,78
Program Expenses,Public Services,Digital Culture Media & Sport,Day to day Spending,Other (inc Tourism),123,b,,,,123
"Administrative Expenses, Recovery Act",Public Services,Digital Culture Media & Sport,Investment,Broadcasting and Media,359,b,,,,359
"FOASI, General Fund Payments for Payroll Tax Holiday (PL 111312)",Public Services,Digital Culture Media & Sport,Investment,Museums Galleries and Libraries,124,b,,,,124
,Public Services,Digital Culture Media & Sport,Investment,Arts and Heritage,60,b,,,,60
,Public Services,Digital Culture Media & Sport,Investment,Sports,43,b,,,,43
,Public Services,Digital Culture Media & Sport,Investment,Other (inc Tourism),0,b,,,,0
,Public Services,Education,Day to day Spending,Grants to local authority schools,30033,b,,,,30033
,Public Services,Education,Day to day Spending,Grants to academies,20019,b,,,,20019
,Public Services,Education,Day to day Spending,Higher education,5857,b,,,,5857
,Public Services,Education,Day to day Spending,"Standards, curriculum & qualifications",4945,b,,,,4945
,Public Services,Education,Day to day Spending,Education & Skills Funding Agency,3954,b,,,,3954
,Public Services,Education,Day to day Spending,School infrastructure and other ,555,b,,,,555
,Public Services,Education,Day to day Spending,Further education,482,b,,,,482
,Public Services,Education,Day to day Spending,Administration & central functions,368,b,,,,368
,Public Services,Education,Day to day Spending,Social care & mobility,256,b,,,,256
,Public Services,Education,Investment,Education & Skills Funding Agency,2028,b,,,,2028
,Public Services,Education,Investment,Grants to local authority schools,1908,b,,,,1908
,Public Services,Education,Investment,Grants to academies,802,b,,,,802
,Public Services,Education,Investment,Higher education,234,b,,,,234
,Public Services,Education,Investment,Administration & central functions,81,b,,,,81
,Public Services,Education,Investment,Further education,79,b,,,,79
,Public Services,Education,Investment,School infrastructure and other ,33,b,,,,33
,Public Services,Education,Investment,"Standards, curriculum & qualifications",16,b,,,,16
,Public Services,Education,Investment,Social care & mobility,1,b,,,,1
,Infrastructure and Investment,Environment Food & Rural Affairs,Day to day Spending,Improve the environment,529,b,,,,529
,Infrastructure and Investment,Environment Food & Rural Affairs,Day to day Spending,Departmental operating costs,404,b,,,,404
,Infrastructure and Investment,Environment Food & Rural Affairs,Day to day Spending,Flood protection,326,b,,,,326
,Infrastructure and Investment,Environment Food & Rural Affairs,Day to day Spending,Food and farming,216,b,,,,216
,Infrastructure and Investment,Environment Food & Rural Affairs,Day to day Spending,"Animal, fish and plant health",197,b,,,,197
,Infrastructure and Investment,Environment Food & Rural Affairs,Day to day Spending,Rural services,137,b,,,,137
,Infrastructure and Investment,Environment Food & Rural Affairs,Investment,Flood protection,431,b,,,,431
,Infrastructure and Investment,Environment Food & Rural Affairs,Investment,Departmental operating costs,66,b,,,,66
,Infrastructure and Investment,Environment Food & Rural Affairs,Investment,Improve the environment,62,b,,,,62
,Infrastructure and Investment,Environment Food & Rural Affairs,Investment,Rural services,34,b,,,,34
,Infrastructure and Investment,Environment Food & Rural Affairs,Investment,"Animal, fish and plant health",15,b,,,,15
,Infrastructure and Investment,Environment Food & Rural Affairs,Investment,Food and farming,5,b,,,,5
